ID,gender,Management,USAcitizen,Married,MonthsInUnion,ContinuingEd,StateOfResidence,Connectivity,FeatureA,FeatureB,FeatureC,FeatureD,FeatureE,FeatureF,DuesFrequency,PaperlessBilling,PaymentMethod,MonthlyDues,TotalDues,LeftUnion
Justin1289-17504,Male,0,No,No,35,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.35,2636.05,Yes
Justin1290-16978,Male,0,No,Yes,33,No,MO,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),34.05,1113.95,No
Justin1291-13598,Female,0,No,No,72,Yes,IL,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),59.75,4265,No
Justin1292-18620,Female,0,Yes,Yes,58,Yes,IL,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.8,3970.4,No
Justin1293-14095,Male,0,Yes,No,52,Yes,IL,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),91.6,4627.8,No
Justin1294-17484,Female,1,No,No,25,Yes,IL,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.7,2187.55,Yes
Justin1295-15564,Female,0,Yes,No,16,Yes,IL,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,90.7,1374.9,No
Justin1296-14518,Female,0,No,No,1,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.4,45.4,No
Justin1297-19262,Female,0,No,No,30,Yes,IL,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),110.45,3327.05,No
Justin1298-14647,Female,0,No,No,12,Yes,MO,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,95.5,1115.15,Yes
Justin1299-19329,Female,0,Yes,No,70,No,MO,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8,4039.3,No
Justin1300-18482,Female,0,Yes,No,17,Yes,IL,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,92.6,1579.7,No
Justin1301-13873,Male,0,Yes,No,13,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359,Yes
Justin1302-17473,Male,0,Yes,Yes,72,Yes,IL,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),97.75,6991.6,No
Justin1303-14961,Female,0,No,No,2,Yes,MO,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,79.65,152.7,Yes
Justin1304-17362,Female,1,Yes,No,70,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113,7987.6,No
Justin1305-17249,Male,0,Yes,Yes,34,Yes,IL,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),77.2,2753.8,No
Justin1306-15249,Male,0,No,No,5,Yes,MO,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.2,216.9,Yes
Justin1307-19479,Male,0,No,No,12,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Credit card (automatic),20.05,265.45,No
Justin1308-16371,Female,0,No,No,16,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,20.1,296.15,No
Justin1309-13146,Male,0,Yes,Yes,44,Yes,MO,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2924.05,No
Justin1310-18910,Male,1,Yes,No,17,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,Yes
Justin1311-19038,Male,1,Yes,No,7,No,MO,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.8,220.45,No
Justin1312-19327,Male,0,Yes,Yes,53,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),25.55,1336.1,No
Justin1313-18632,Male,0,Yes,No,10,Yes,IL,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.6,813.85,Yes
Justin1314-13640,Female,0,Yes,Yes,72,Yes,MO,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.45,5886.85,No
Justin1315-13535,Male,0,Yes,No,59,Yes,IL,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,69.1,4096.9,No
Justin1316-14036,Male,0,Yes,No,16,Yes,MO,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),80.75,1321.3,No
Justin1317-14161,Female,0,No,No,2,No,MO,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,51.4,96.8,No
Justin1318-16343,Female,0,Yes,No,32,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Bank transfer (automatic),19.4,641.15,No
Justin1319-14817,Male,0,Yes,Yes,72,Yes,IL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.8,6397.6,No
Justin1320-14486,Female,0,Yes,Yes,9,Yes,IL,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,55.3,501.2,No
Justin1321-15562,Female,0,No,Yes,19,Yes,MO,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,60.6,1297.8,No
Justin1322-14820,Female,0,Yes,No,53,Yes,IL,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.95,5718.2,No
Justin1323-13527,Male,0,Yes,Yes,18,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Bank transfer (automatic),20.05,345.9,No
Justin1324-16149,Female,0,Yes,No,58,Yes,IL,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.45,6144.55,Yes
Justin1325-16518,Male,0,Yes,No,70,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),19.85,1433.8,No
Justin1326-15205,Male,0,Yes,No,49,Yes,MO,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),99.25,4920.8,No
Justin1327-17047,Male,0,Yes,No,20,Yes,MO,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,64.15,1274.45,No
Justin1328-14131,Male,1,Yes,No,44,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Credit card (automatic),19.35,847.25,No
Justin1329-17958,Male,0,Yes,No,71,Yes,IL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),90.55,6404,No
Justin1330-13270,Female,0,Yes,No,72,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,115.15,8349.7,No
Justin1331-14387,Female,1,Yes,No,58,Yes,IL,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.4,5749.8,No
Justin1332-13571,Male,0,No,No,41,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,20.15,802.35,No
Justin1333-19356,Male,0,No,No,1,Yes,MO,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,Yes
Justin1334-15171,Female,0,No,Yes,16,Yes,MO,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81,1312.15,Yes
Justin1335-16647,Female,0,No,No,16,Yes,MO,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.9,834.15,Yes
Justin1336-16152,Female,0,Yes,Yes,8,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.45,411.75,No
Justin1337-16771,Male,0,Yes,Yes,12,Yes,MO,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,56.3,628.65,No
Justin1338-17999,Male,0,No,No,23,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,Yes
Justin1339-14542,Female,0,No,No,13,No,MO,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,31.05,347.25,Yes
Justin1340-15975,Male,0,No,No,42,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Bank transfer (automatic),19.8,849.9,No
Justin1341-13889,Female,0,No,No,2,Yes,IL,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.15,101.65,No
Justin1342-17123,Male,0,Yes,No,22,Yes,IL,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.1,1873.7,Yes
Justin1343-18761,Male,0,No,No,13,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,19.45,270.2,No
Justin1344-15642,Female,0,No,No,3,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,18.8,56,No
Justin1345-16554,Male,0,Yes,No,36,No,MO,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,35.35,1317.95,No
Justin1346-13346,Male,0,No,No,36,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Credit card (automatic),18.55,689,No
Justin1347-18525,Female,0,No,No,24,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.75,2407.3,Yes
Justin1348-19952,Male,0,No,No,2,Yes,MO,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No
Justin1349-14251,Male,0,Yes,No,32,Yes,IL,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),72.8,2333.05,No
Justin1350-15057,Male,0,No,No,3,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Mailed check,19.8,58.15,Yes
Justin1351-16920,Female,1,No,No,2,Yes,IL,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.55,187.45,Yes
Justin1352-19433,Male,0,Yes,Yes,71,Yes,MO,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),70.85,4973.4,No
Justin1353-16494,Male,0,Yes,Yes,68,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Bank transfer (automatic),19.95,1377.7,No
Justin1354-15302,Female,0,No,No,59,Yes,MO,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,95.8,5655.45,No
Justin1355-18721,Female,0,Yes,Yes,72,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Credit card (automatic),20.1,1326.25,No
Justin1356-18269,Male,0,Yes,No,64,Yes,IL,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),89.45,5692.65,No
Justin1357-15144,Male,0,Yes,Yes,18,No,MO,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),46.4,812.4,No
Justin1358-19155,Female,0,No,No,13,No,MO,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1,No
Justin1359-16654,Male,0,No,No,10,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.15,811.8,Yes
Justin1360-15242,Male,0,No,No,31,Yes,MO,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.45,2156.25,No
Justin1361-15167,Female,0,No,No,18,No,MO,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,40.2,711.95,No
Justin1362-16514,Female,1,Yes,No,38,Yes,MO,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.45,3147.15,No
Justin1363-16545,Female,0,Yes,No,70,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,97.65,6982.5,No
Justin1364-16919,Female,0,No,No,4,Yes,MO,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.65,261.25,Yes
Justin1365-18329,Female,0,No,No,8,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.6,548.9,No
Justin1366-15694,Female,0,Yes,No,49,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Credit card (automatic),19,918.7,No
Justin1367-19256,Male,0,No,No,10,Yes,IL,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.55,1008.55,Yes
Justin1368-13282,Female,0,Yes,No,3,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.1,228,Yes
Justin1369-14003,Male,0,Yes,Yes,72,Yes,MO,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),111.95,8033.1,No
Justin1370-15771,Male,0,Yes,Yes,69,Yes,MO,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.65,5542.55,No
Justin1371-16942,Male,0,Yes,Yes,50,Yes,IL,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.5,3486.65,No
Justin1372-14661,Male,0,No,No,20,Yes,MO,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50,1003.05,No
Justin1373-19995,Male,0,No,No,45,No,MO,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
Justin1374-18852,Male,0,No,No,29,No,MO,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,35.6,1072.6,No
Justin1375-13763,Male,1,Yes,Yes,22,No,MO,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,40.05,880.2,Yes
Justin1376-13445,Female,0,Yes,Yes,61,No,MO,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),61.45,3751.15,No
Justin1377-19594,Male,0,No,No,20,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Mailed check,19.7,419.4,No
Justin1378-18901,Male,0,Yes,Yes,25,Yes,MO,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,90.4,2178.6,Yes
Justin1379-19275,Male,0,No,No,3,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,141.5,Yes
Justin1380-13620,Male,0,Yes,Yes,13,Yes,MO,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,84.05,1095.3,Yes
Justin1381-14874,Female,0,Yes,Yes,25,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,20.1,486.05,No
Justin1382-14216,Female,1,No,No,1,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,69.65,Yes
Justin1383-16663,Male,0,No,No,12,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Electronic check,25,316.2,No
Justin1384-19398,Male,0,No,No,16,Yes,MO,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.55,1170.5,No
Justin1385-19890,Male,0,No,No,43,Yes,IL,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No
Justin1386-16803,Female,0,No,No,9,Yes,MO,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,80.55,653.9,No
Justin1387-19156,Female,0,Yes,Yes,12,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Bank transfer (automatic),19.8,229.6,Yes
Justin1388-18338,Male,0,Yes,No,47,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Electronic check,25.4,1139.2,No
Justin1389-18250,Female,0,Yes,No,54,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),20.05,1102.4,No
Justin1390-18079,Male,0,No,No,1,Yes,MO,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.9,50.9,Yes
Justin1391-19047,Female,0,No,No,8,Yes,MO,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.6,535.55,No
Justin1392-14947,Male,0,No,No,56,Yes,IL,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.35,5794.45,No
Justin1393-18116,Male,0,Yes,Yes,29,Yes,MO,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.2,1834.15,No
Justin1394-19403,Female,0,No,No,12,Yes,IL,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.65,713.75,Yes
Justin1395-17626,Male,0,Yes,Yes,71,Yes,IL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.3,6287.3,No
Justin1396-19868,Female,0,No,No,13,Yes,IL,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No
Justin1397-17594,Female,0,Yes,Yes,42,Yes,IL,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),94.45,3923.8,No
Justin1398-18502,Male,0,No,No,3,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Electronic check,20.25,61.45,No
Justin1399-18206,Male,0,Yes,Yes,42,Yes,IL,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.4,3058.3,No
Justin1400-15741,Female,0,Yes,No,49,Yes,MO,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,99.4,5025,No
Justin1401-17136,Male,0,Yes,No,7,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,451.1,Yes
Justin1402-18516,Female,1,No,No,13,Yes,MO,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.85,1235.55,No
Justin1403-17428,Male,0,Yes,No,30,Yes,IL,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.05,2866.45,Yes
Justin1404-13728,Female,0,Yes,Yes,29,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,20.2,558.8,No
Justin1405-18161,Male,0,No,No,1,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Bank transfer (automatic),20.05,20.05,Yes
Justin1406-16548,Male,1,Yes,No,70,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,No
Justin1407-17666,Female,0,Yes,No,47,Yes,MO,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),66.05,3021.45,No
Justin1408-13244,Male,0,No,Yes,0,Yes,IL,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),61.9, ,No
Justin1409-15864,Female,0,Yes,No,55,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.65,5676.65,No
Justin1410-15879,Male,0,No,No,35,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,Yes,Mailed check,19.15,638,No
Justin1411-15391,Male,0,No,Yes,1,Yes,MO,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,59.55,59.55,No
Justin1412-18624,Male,0,Yes,Yes,45,Yes,MO,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.35,3858.05,No
Justin1413-16302,Female,0,Yes,No,6,Yes,MO,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.15,270.8,Yes
Justin1414-18562,Female,0,No,No,2,Yes,IL,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.4,193.6,Yes
Justin1415-18138,Male,0,Yes,Yes,71,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,19.45,1378.45,No
Justin1416-16926,Female,0,Yes,Yes,61,Yes,IL,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,79.4,4820.55,No
Justin1417-17952,Female,0,No,Yes,1,No,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,24.7,No
Justin1418-17889,Male,0,No,No,34,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Bank transfer (automatic),26.1,980.35,No
Justin1419-16472,Male,1,No,No,5,Yes,MO,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,50.35,237.25,Yes
Justin1420-17232,Female,0,Yes,No,64,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,115,7396.15,No
Justin1421-15358,Male,0,Yes,Yes,1,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70,70,Yes
Justin1422-14954,Male,0,Yes,No,22,Yes,MO,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.6,2180.55,No
Justin1423-14458,Female,0,Yes,Yes,1,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,20.55,20.55,Yes
Justin1424-17295,Female,0,No,No,1,Yes,IL,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.1,50.1,Yes
Justin1425-19985,Male,0,No,No,49,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes
Justin1426-18994,Male,0,No,No,21,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,20,417.7,No
Justin1427-18668,Male,0,Yes,No,22,Yes,MO,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),56.25,1292.2,No
Justin1428-17733,Male,0,No,No,12,Yes,IL,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,112.95,1384.75,Yes
Justin1429-19715,Female,0,No,No,68,Yes,IL,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,54.45,3687.75,No
Justin1430-14923,Female,0,Yes,Yes,42,Yes,MO,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.15,3875.4,No
Justin1431-15782,Male,0,No,No,72,Yes,IL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92,6632.75,No
Justin1432-13949,Female,0,Yes,Yes,47,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),20.05,1016.7,No
Justin1433-17649,Male,0,Yes,Yes,72,Yes,IL,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),90.45,6565.85,No
Justin1434-17633,Male,1,No,No,18,Yes,IL,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),93.9,1743.9,No
Justin1435-16364,Male,1,No,No,72,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),113.8,7845.8,No
Justin1436-13493,Male,0,Yes,Yes,56,Yes,MO,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),59.8,3457.45,No
Justin1437-13572,Female,0,No,No,41,Yes,MO,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),50.05,2029.05,No
Justin1438-13391,Male,0,No,Yes,1,No,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.3,25.3,Yes
Justin1439-15953,Female,0,No,No,14,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71,914,Yes
Justin1440-16651,Male,0,Yes,Yes,23,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,20.9,454,No
Justin1441-16084,Male,0,No,No,39,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,19.9,791.15,No
Justin1442-17137,Female,0,No,No,1,Yes,MO,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.95,81.95,Yes
Justin1443-18107,Female,1,No,No,1,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.1,45.1,Yes
Justin1444-19367,Female,0,Yes,No,46,Yes,IL,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55,2473.95,No
Justin1445-18326,Male,0,Yes,Yes,72,Yes,IL,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),72.1,5016.65,No
Justin1446-14677,Female,0,Yes,No,69,Yes,MO,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),106.4,7251.9,No
Justin1447-18382,Male,0,Yes,Yes,53,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Mailed check,19.4,1110.35,No
Justin1448-13676,Female,0,No,No,4,Yes,MO,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79,303.15,Yes
Justin1449-19508,Male,0,Yes,Yes,63,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.8,6597.25,No
Justin1450-15066,Male,0,Yes,Yes,27,Yes,MO,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),80.65,2209.75,No
Justin1451-17659,Female,1,No,No,21,Yes,IL,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.25,1973.75,Yes
Justin1452-19768,Male,0,No,No,54,Yes,IL,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108,5760.65,No
Justin1453-15711,Female,1,Yes,No,66,Yes,IL,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.95,6975.25,Yes
Justin1454-16257,Male,0,Yes,Yes,72,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),104.9,7732.65,No
Justin1455-14938,Female,0,No,No,18,No,MO,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,35.2,607.3,No
Justin1456-16623,Female,0,Yes,Yes,71,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Bank transfer (automatic),19.9,1389.35,No
Justin1457-15325,Female,1,No,No,25,Yes,IL,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.8,2660.2,Yes
Justin1458-17141,Female,0,Yes,Yes,47,Yes,MO,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),63.8,3007.25,No
Justin1459-18362,Female,0,No,No,48,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Bank transfer (automatic),24.35,1133.7,No
Justin1460-17094,Male,0,No,No,25,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.95,1767.35,Yes
